Lugar de condena;Sexo del infractor;Periodo;Total
23 Jaén;Total;2018;5.587
23 Jaén;Total;2017;5.521
23 Jaén;Total;2016;5.062
23 Jaén;Hombres;2022;4.475
23 Jaén;Hombres;2021;4.389
23 Jaén;Hombres;2020;3.441
23 Jaén;Hombres;2019;4.460
23 Jaén;Hombres;2018;4.702
23 Jaén;Hombres;2017;4.610
23 Jaén;Hombres;2016;4.305
23 Jaén;Mujeres;2022;834
23 Jaén;Mujeres;2021;698
23 Jaén;Mujeres;2020;528
23 Jaén;Mujeres;2019;787
23 Jaén;Mujeres;2018;885
23 Jaén;Mujeres;2017;911
23 Jaén;Mujeres;2016;757
24 León;Total;2022;3.771
24 León;Total;2021;3.390
24 León;Total;2020;2.731
24 León;Total;2019;3.398
24 León;Total;2018;3.186
24 León;Total;2017;3.476
24 León;Total;2016;2.934
24 León;Hombres;2022;3.029
24 León;Hombres;2021;2.713
24 León;Hombres;2020;2.175
24 León;Hombres;2019;2.706
24 León;Hombres;2018;2.528
24 León;Hombres;2017;2.785
24 León;Hombres;2016;2.402
24 León;Mujeres;2022;742
24 León;Mujeres;2021;677
24 León;Mujeres;2020;556
24 León;Mujeres;2019;692
24 León;Mujeres;2018;658
24 León;Mujeres;2017;691
24 León;Mujeres;2016;532
25 Lleida;Total;2022;4.320
25 Lleida;Total;2021;4.139
25 Lleida;Total;2020;2.549
25 Lleida;Total;2019;3.727
25 Lleida;Total;2018;3.764
25 Lleida;Total;2017;3.436
25 Lleida;Total;2016;3.348
25 Lleida;Hombres;2022;3.700
25 Lleida;Hombres;2021;3.556
25 Lleida;Hombres;2020;2.189
25 Lleida;Hombres;2019;3.200
25 Lleida;Hombres;2018;3.209
25 Lleida;Hombres;2017;2.890
25 Lleida;Hombres;2016;2.875
25 Lleida;Mujeres;2022;620
25 Lleida;Mujeres;2021;583
25 Lleida;Mujeres;2020;360
25 Lleida;Mujeres;2019;527
25 Lleida;Mujeres;2018;555
25 Lleida;Mujeres;2017;546
25 Lleida;Mujeres;2016;473
27 Lugo;Total;2022;2.250
27 Lugo;Total;2021;2.071
27 Lugo;Total;2020;1.391
27 Lugo;Total;2019;1.801
27 Lugo;Total;2018;1.681
27 Lugo;Total;2017;1.726
27 Lugo;Total;2016;1.729
27 Lugo;Hombres;2022;1.914
27 Lugo;Hombres;2021;1.701
27 Lugo;Hombres;2020;1.157
27 Lugo;Hombres;2019;1.440
27 Lugo;Hombres;2018;1.396
27 Lugo;Hombres;2017;1.454
27 Lugo;Hombres;2016;1.470
27 Lugo;Mujeres;2022;336
27 Lugo;Mujeres;2021;370
27 Lugo;Mujeres;2020;234
27 Lugo;Mujeres;2019;361
27 Lugo;Mujeres;2018;285
27 Lugo;Mujeres;2017;272
27 Lugo;Mujeres;2016;259
28 Madrid;Total;2022;50.268
28 Madrid;Total;2021;49.725
28 Madrid;Total;2020;38.856
28 Madrid;Total;2019;54.264
28 Madrid;Total;2018;56.063
28 Madrid;Total;2017;52.778
28 Madrid;Total;2016;46.487
28 Madrid;Hombres;2022;39.488
28 Madrid;Hombres;2021;38.466
28 Madrid;Hombres;2020;30.026
28 Madrid;Hombres;2019;41.157
28 Madrid;Hombres;2018;41.943
28 Madrid;Hombres;2017;39.409
28 Madrid;Hombres;2016;35.958
28 Madrid;Mujeres;2022;10.780
28 Madrid;Mujeres;2021;11.259
28 Madrid;Mujeres;2020;8.830
28 Madrid;Mujeres;2019;13.107
28 Madrid;Mujeres;2018;14.120
28 Madrid;Mujeres;2017;13.369
28 Madrid;Mujeres;2016;10.529
29 Málaga;Total;2022;17.518
29 Málaga;Total;2021;17.190
29 Málaga;Total;2020;11.801
29 Málaga;Total;2019;15.808
29 Málaga;Total;2018;15.689
29 Málaga;Total;2017;15.277
29 Málaga;Total;2016;14.306
29 Málaga;Hombres;2022;14.008
29 Málaga;Hombres;2021;13.770
29 Málaga;Hombres;2020;9.518
29 Málaga;Hombres;2019;12.551
29 Málaga;Hombres;2018;12.343
29 Málaga;Hombres;2017;12.050
29 Málaga;Hombres;2016;11.395
29 Málaga;Mujeres;2022;3.510
29 Málaga;Mujeres;2021;3.420
29 Málaga;Mujeres;2020;2.283
29 Málaga;Mujeres;2019;3.257
29 Málaga;Mujeres;2018;3.346
29 Málaga;Mujeres;2017;3.227
29 Málaga;Mujeres;2016;2.911
30 Murcia;Total;2022;14.751
30 Murcia;Total;2021;14.147
30 Murcia;Total;2020;10.411
30 Murcia;Total;2019;13.275
30 Murcia;Total;2018;13.101
30 Murcia;Total;2017;12.761
30 Murcia;Total;2016;12.812
30 Murcia;Hombres;2022;12.773
30 Murcia;Hombres;2021;12.123
30 Murcia;Hombres;2020;8.959
30 Murcia;Hombres;2019;11.214
30 Murcia;Hombres;2018;11.198
30 Murcia;Hombres;2017;10.828
30 Murcia;Hombres;2016;10.858
30 Murcia;Mujeres;2022;1.978
30 Murcia;Mujeres;2021;2.024
30 Murcia;Mujeres;2020;1.452
30 Murcia;Mujeres;2019;2.061
30 Murcia;Mujeres;2018;1.903
30 Murcia;Mujeres;2017;1.933
30 Murcia;Mujeres;2016;1.954
31 Navarra;Total;2022;5.515
31 Navarra;Total;2021;4.725
31 Navarra;Total;2020;3.686
31 Navarra;Total;2019;4.940
31 Navarra;Total;2018;4.775
31 Navarra;Total;2017;4.533
31 Navarra;Total;2016;4.109
31 Navarra;Hombres;2022;4.728
31 Navarra;Hombres;2021;4.019
31 Navarra;Hombres;2020;3.114
31 Navarra;Hombres;2019;4.121
31 Navarra;Hombres;2018;3.966
31 Navarra;Hombres;2017;3.756
31 Navarra;Hombres;2016;3.396
31 Navarra;Mujeres;2022;787
31 Navarra;Mujeres;2021;706
31 Navarra;Mujeres;2020;572
31 Navarra;Mujeres;2019;819
31 Navarra;Mujeres;2018;809
31 Navarra;Mujeres;2017;777
31 Navarra;Mujeres;2016;713
32 Ourense;Total;2022;2.126
32 Ourense;Total;2021;1.960
32 Ourense;Total;2020;1.557
32 Ourense;Total;2019;2.198
32 Ourense;Total;2018;1.859
32 Ourense;Total;2017;2.084
32 Ourense;Total;2016;1.883
32 Ourense;Hombres;2022;1.813
32 Ourense;Hombres;2021;1.703
32 Ourense;Hombres;2020;1.368
32 Ourense;Hombres;2019;1.888
32 Ourense;Hombres;2018;1.652
32 Ourense;Hombres;2017;1.773
32 Ourense;Hombres;2016;1.666
32 Ourense;Mujeres;2022;313
32 Ourense;Mujeres;2021;257
32 Ourense;Mujeres;2020;189
32 Ourense;Mujeres;2019;310
32 Ourense;Mujeres;2018;207
32 Ourense;Mujeres;2017;311
32 Ourense;Mujeres;2016;217
34 Palencia;Total;2022;1.198
34 Palencia;Total;2021;1.173
34 Palencia;Total;2020;751
34 Palencia;Total;2019;1.130
34 Palencia;Total;2018;974
34 Palencia;Total;2017;1.053
34 Palencia;Total;2016;849
34 Palencia;Hombres;2022;1.022
34 Palencia;Hombres;2021;968
34 Palencia;Hombres;2020;629
34 Palencia;Hombres;2019;925
34 Palencia;Hombres;2018;804
34 Palencia;Hombres;2017;899
34 Palencia;Hombres;2016;696
34 Palencia;Mujeres;2022;176
34 Palencia;Mujeres;2021;205
34 Palencia;Mujeres;2020;122
34 Palencia;Mujeres;2019;205
34 Palencia;Mujeres;2018;170
34 Palencia;Mujeres;2017;154
34 Palencia;Mujeres;2016;153
35 Palmas Las;Total;2022;13.314
35 Palmas Las;Total;2021;12.341
35 Palmas Las;Total;2020;9.071
35 Palmas Las;Total;2019;11.001
35 Palmas Las;Total;2018;11.091
35 Palmas Las;Total;2017;10.556
35 Palmas Las;Total;2016;9.408
35 Palmas Las;Hombres;2022;11.168
35 Palmas Las;Hombres;2021;10.427
35 Palmas Las;Hombres;2020;7.692
35 Palmas Las;Hombres;2019;9.246
35 Palmas Las;Hombres;2018;9.392
35 Palmas Las;Hombres;2017;8.916
35 Palmas Las;Hombres;2016;8.021
35 Palmas Las;Mujeres;2022;2.146
35 Palmas Las;Mujeres;2021;1.914
35 Palmas Las;Mujeres;2020;1.379
35 Palmas Las;Mujeres;2019;1.755
35 Palmas Las;Mujeres;2018;1.699
35 Palmas Las;Mujeres;2017;1.640
35 Palmas Las;Mujeres;2016;1.387
36 Pontevedra;Total;2022;7.710
36 Pontevedra;Total;2021;7.654
36 Pontevedra;Total;2020;5.548
36 Pontevedra;Total;2019;7.535
36 Pontevedra;Total;2018;6.199
36 Pontevedra;Total;2017;7.204
36 Pontevedra;Total;2016;6.631
36 Pontevedra;Hombres;2022;6.353
36 Pontevedra;Hombres;2021;6.279
36 Pontevedra;Hombres;2020;4.580
36 Pontevedra;Hombres;2019;6.207
36 Pontevedra;Hombres;2018;5.195
36 Pontevedra;Hombres;2017;6.026
36 Pontevedra;Hombres;2016;5.523
36 Pontevedra;Mujeres;2022;1.357
36 Pontevedra;Mujeres;2021;1.375
36 Pontevedra;Mujeres;2020;968
36 Pontevedra;Mujeres;2019;1.328
36 Pontevedra;Mujeres;2018;1.004
36 Pontevedra;Mujeres;2017;1.178
36 Pontevedra;Mujeres;2016;1.108
26 Rioja La;Total;2022;3.095
26 Rioja La;Total;2021;2.971
26 Rioja La;Total;2020;1.911
26 Rioja La;Total;2019;2.439
26 Rioja La;Total;2018;2.734
26 Rioja La;Total;2017;2.476
26 Rioja La;Total;2016;2.561
26 Rioja La;Hombres;2022;2.566
26 Rioja La;Hombres;2021;2.466
26 Rioja La;Hombres;2020;1.579
26 Rioja La;Hombres;2019;1.991
26 Rioja La;Hombres;2018;2.237
26 Rioja La;Hombres;2017;1.969
26 Rioja La;Hombres;2016;2.094
26 Rioja La;Mujeres;2022;529
26 Rioja La;Mujeres;2021;505
26 Rioja La;Mujeres;2020;332
26 Rioja La;Mujeres;2019;448
26 Rioja La;Mujeres;2018;497
26 Rioja La;Mujeres;2017;507
26 Rioja La;Mujeres;2016;467
37 Salamanca;Total;2022;2.082
37 Salamanca;Total;2021;2.271
37 Salamanca;Total;2020;1.717
37 Salamanca;Total;2019;2.282
37 Salamanca;Total;2018;2.272
37 Salamanca;Total;2017;2.021
37 Salamanca;Total;2016;1.891
37 Salamanca;Hombres;2022;1.630
37 Salamanca;Hombres;2021;1.771
37 Salamanca;Hombres;2020;1.304
37 Salamanca;Hombres;2019;1.739
37 Salamanca;Hombres;2018;1.730
37 Salamanca;Hombres;2017;1.621
37 Salamanca;Hombres;2016;1.488
37 Salamanca;Mujeres;2022;452
37 Salamanca;Mujeres;2021;500
37 Salamanca;Mujeres;2020;413
37 Salamanca;Mujeres;2019;543
37 Salamanca;Mujeres;2018;542
37 Salamanca;Mujeres;2017;400
37 Salamanca;Mujeres;2016;403
38 Santa Cruz de Tenerife;Total;2022;9.779
38 Santa Cruz de Tenerife;Total;2021;10.169
38 Santa Cruz de Tenerife;Total;2020;7.618
38 Santa Cruz de Tenerife;Total;2019;10.081
38 Santa Cruz de Tenerife;Total;2018;9.852
38 Santa Cruz de Tenerife;Total;2017;10.277
38 Santa Cruz de Tenerife;Total;2016;10.569
38 Santa Cruz de Tenerife;Hombres;2022;8.210
38 Santa Cruz de Tenerife;Hombres;2021;8.449
38 Santa Cruz de Tenerife;Hombres;2020;6.378
38 Santa Cruz de Tenerife;Hombres;2019;8.276
38 Santa Cruz de Tenerife;Hombres;2018;8.115
38 Santa Cruz de Tenerife;Hombres;2017;8.486
38 Santa Cruz de Tenerife;Hombres;2016;8.840
38 Santa Cruz de Tenerife;Mujeres;2022;1.569
38 Santa Cruz de Tenerife;Mujeres;2021;1.720
38 Santa Cruz de Tenerife;Mujeres;2020;1.240
38 Santa Cruz de Tenerife;Mujeres;2019;1.805
38 Santa Cruz de Tenerife;Mujeres;2018;1.737
38 Santa Cruz de Tenerife;Mujeres;2017;1.791
38 Santa Cruz de Tenerife;Mujeres;2016;1.729
40 Segovia;Total;2022;1.044
40 Segovia;Total;2021;1.026
40 Segovia;Total;2020;599
40 Segovia;Total;2019;1.015
40 Segovia;Total;2018;943
40 Segovia;Total;2017;893
40 Segovia;Total;2016;671
40 Segovia;Hombres;2022;896
40 Segovia;Hombres;2021;882
40 Segovia;Hombres;2020;521
40 Segovia;Hombres;2019;874
40 Segovia;Hombres;2018;839
40 Segovia;Hombres;2017;763
40 Segovia;Hombres;2016;603
40 Segovia;Mujeres;2022;148
40 Segovia;Mujeres;2021;144
40 Segovia;Mujeres;2020;78
40 Segovia;Mujeres;2019;141
40 Segovia;Mujeres;2018;104
40 Segovia;Mujeres;2017;130
40 Segovia;Mujeres;2016;68
41 Sevilla;Total;2022;17.746
41 Sevilla;Total;2021;18.047
41 Sevilla;Total;2020;13.742
41 Sevilla;Total;2019;18.433
41 Sevilla;Total;2018;18.113
41 Sevilla;Total;2017;17.347
41 Sevilla;Total;2016;15.637
41 Sevilla;Hombres;2022;14.526
41 Sevilla;Hombres;2021;14.717
41 Sevilla;Hombres;2020;11.160
41 Sevilla;Hombres;2019;14.889
41 Sevilla;Hombres;2018;14.775
41 Sevilla;Hombres;2017;14.259
41 Sevilla;Hombres;2016;13.151
41 Sevilla;Mujeres;2022;3.220
41 Sevilla;Mujeres;2021;3.330
41 Sevilla;Mujeres;2020;2.582
41 Sevilla;Mujeres;2019;3.544
41 Sevilla;Mujeres;2018;3.338
41 Sevilla;Mujeres;2017;3.088
41 Sevilla;Mujeres;2016;2.486
42 Soria;Total;2022;642
42 Soria;Total;2021;653
42 Soria;Total;2020;423
42 Soria;Total;2019;592
42 Soria;Total;2018;459
42 Soria;Total;2017;407
42 Soria;Total;2016;407
42 Soria;Hombres;2022;586
42 Soria;Hombres;2021;567
42 Soria;Hombres;2020;355
42 Soria;Hombres;2019;509
42 Soria;Hombres;2018;395
42 Soria;Hombres;2017;374
42 Soria;Hombres;2016;353
42 Soria;Mujeres;2022;56
42 Soria;Mujeres;2021;86
42 Soria;Mujeres;2020;68
42 Soria;Mujeres;2019;83
42 Soria;Mujeres;2018;64
42 Soria;Mujeres;2017;33
42 Soria;Mujeres;2016;54
43 Tarragona;Total;2022;7.870
43 Tarragona;Total;2021;7.688
43 Tarragona;Total;2020;5.754
43 Tarragona;Total;2019;7.790
43 Tarragona;Total;2018;7.840
43 Tarragona;Total;2017;7.417
43 Tarragona;Total;2016;7.477
43 Tarragona;Hombres;2022;6.621
43 Tarragona;Hombres;2021;6.512
43 Tarragona;Hombres;2020;4.802
43 Tarragona;Hombres;2019;6.457
43 Tarragona;Hombres;2018;6.371
43 Tarragona;Hombres;2017;6.133
43 Tarragona;Hombres;2016;6.403
43 Tarragona;Mujeres;2022;1.249
43 Tarragona;Mujeres;2021;1.176
43 Tarragona;Mujeres;2020;952
43 Tarragona;Mujeres;2019;1.333
43 Tarragona;Mujeres;2018;1.469
43 Tarragona;Mujeres;2017;1.284
43 Tarragona;Mujeres;2016;1.074
44 Teruel;Total;2022;721
44 Teruel;Total;2021;678
44 Teruel;Total;2020;589
44 Teruel;Total;2019;736
44 Teruel;Total;2018;623
44 Teruel;Total;2017;675
44 Teruel;Total;2016;717
44 Teruel;Hombres;2022;621
44 Teruel;Hombres;2021;583
44 Teruel;Hombres;2020;522
44 Teruel;Hombres;2019;644
44 Teruel;Hombres;2018;545
44 Teruel;Hombres;2017;574
44 Teruel;Hombres;2016;661
44 Teruel;Mujeres;2022;100
44 Teruel;Mujeres;2021;95
44 Teruel;Mujeres;2020;67
44 Teruel;Mujeres;2019;92
44 Teruel;Mujeres;2018;78
44 Teruel;Mujeres;2017;101
44 Teruel;Mujeres;2016;56
45 Toledo;Total;2022;3.722
45 Toledo;Total;2021;3.663
45 Toledo;Total;2020;2.513
45 Toledo;Total;2019;3.447
45 Toledo;Total;2018;3.103
45 Toledo;Total;2017;3.124
45 Toledo;Total;2016;3.148
45 Toledo;Hombres;2022;3.225
45 Toledo;Hombres;2021;3.149
45 Toledo;Hombres;2020;2.158
45 Toledo;Hombres;2019;2.969
45 Toledo;Hombres;2018;2.657
45 Toledo;Hombres;2017;2.689
45 Toledo;Hombres;2016;2.786
45 Toledo;Mujeres;2022;497
45 Toledo;Mujeres;2021;514
45 Toledo;Mujeres;2020;355
45 Toledo;Mujeres;2019;478
45 Toledo;Mujeres;2018;446
45 Toledo;Mujeres;2017;435
45 Toledo;Mujeres;2016;362
46 Valencia/València;Total;2022;26.689
46 Valencia/València;Total;2021;25.834
46 Valencia/València;Total;2020;19.767
46 Valencia/València;Total;2019;25.424
46 Valencia/València;Total;2018;25.855
46 Valencia/València;Total;2017;24.751
46 Valencia/València;Total;2016;22.917
46 Valencia/València;Hombres;2022;21.573
46 Valencia/València;Hombres;2021;20.741
46 Valencia/València;Hombres;2020;15.933
46 Valencia/València;Hombres;2019;19.911
46 Valencia/València;Hombres;2018;20.249
46 Valencia/València;Hombres;2017;19.583
46 Valencia/València;Hombres;2016;18.154
46 Valencia/València;Mujeres;2022;5.116
46 Valencia/València;Mujeres;2021;5.093
46 Valencia/València;Mujeres;2020;3.834
46 Valencia/València;Mujeres;2019;5.513
46 Valencia/València;Mujeres;2018;5.606
46 Valencia/València;Mujeres;2017;5.168
46 Valencia/València;Mujeres;2016;4.763
47 Valladolid;Total;2022;4.446
47 Valladolid;Total;2021;4.110
47 Valladolid;Total;2020;2.514
47 Valladolid;Total;2019;3.855
47 Valladolid;Total;2018;4.004
47 Valladolid;Total;2017;3.615
47 Valladolid;Total;2016;3.186
47 Valladolid;Hombres;2022;3.485
47 Valladolid;Hombres;2021;3.204
47 Valladolid;Hombres;2020;1.971
47 Valladolid;Hombres;2019;2.925
47 Valladolid;Hombres;2018;2.877
47 Valladolid;Hombres;2017;2.741
47 Valladolid;Hombres;2016;2.468
47 Valladolid;Mujeres;2022;961
47 Valladolid;Mujeres;2021;906
47 Valladolid;Mujeres;2020;543
47 Valladolid;Mujeres;2019;930
47 Valladolid;Mujeres;2018;1.127
47 Valladolid;Mujeres;2017;874
47 Valladolid;Mujeres;2016;718
49 Zamora;Total;2022;1.158
49 Zamora;Total;2021;1.162
49 Zamora;Total;2020;857
49 Zamora;Total;2019;907
49 Zamora;Total;2018;1.043
49 Zamora;Total;2017;956
49 Zamora;Total;2016;1.057
49 Zamora;Hombres;2022;974
49 Zamora;Hombres;2021;943
49 Zamora;Hombres;2020;712
49 Zamora;Hombres;2019;733
49 Zamora;Hombres;2018;881
49 Zamora;Hombres;2017;777
49 Zamora;Hombres;2016;890
49 Zamora;Mujeres;2022;184
49 Zamora;Mujeres;2021;219
49 Zamora;Mujeres;2020;145
49 Zamora;Mujeres;2019;174
49 Zamora;Mujeres;2018;162
49 Zamora;Mujeres;2017;179
49 Zamora;Mujeres;2016;167
50 Zaragoza;Total;2022;8.127
50 Zaragoza;Total;2021;7.767
50 Zaragoza;Total;2020;5.868
50 Zaragoza;Total;2019;7.447
50 Zaragoza;Total;2018;7.237
50 Zaragoza;Total;2017;7.125
50 Zaragoza;Total;2016;6.810
50 Zaragoza;Hombres;2022;6.626
50 Zaragoza;Hombres;2021;6.292
50 Zaragoza;Hombres;2020;4.770
50 Zaragoza;Hombres;2019;5.920
50 Zaragoza;Hombres;2018;5.782
50 Zaragoza;Hombres;2017;5.594
50 Zaragoza;Hombres;2016;5.420
50 Zaragoza;Mujeres;2022;1.501
50 Zaragoza;Mujeres;2021;1.475
50 Zaragoza;Mujeres;2020;1.098
50 Zaragoza;Mujeres;2019;1.527
50 Zaragoza;Mujeres;2018;1.455
50 Zaragoza;Mujeres;2017;1.531
50 Zaragoza;Mujeres;2016;1.390
51 Ceuta;Total;2022;1.154
51 Ceuta;Total;2021;1.192
51 Ceuta;Total;2020;1.400
51 Ceuta;Total;2019;2.180
51 Ceuta;Total;2018;2.130
51 Ceuta;Total;2017;2.037
51 Ceuta;Total;2016;1.793
51 Ceuta;Hombres;2022;971
51 Ceuta;Hombres;2021;1.010
51 Ceuta;Hombres;2020;1.169
51 Ceuta;Hombres;2019;1.763
51 Ceuta;Hombres;2018;1.733
51 Ceuta;Hombres;2017;1.699
51 Ceuta;Hombres;2016;1.492
51 Ceuta;Mujeres;2022;183
51 Ceuta;Mujeres;2021;182
51 Ceuta;Mujeres;2020;231
51 Ceuta;Mujeres;2019;417
51 Ceuta;Mujeres;2018;397
51 Ceuta;Mujeres;2017;338
51 Ceuta;Mujeres;2016;301
52 Melilla;Total;2022;1.143
52 Melilla;Total;2021;1.127
52 Melilla;Total;2020;1.184
52 Melilla;Total;2019;1.855
52 Melilla;Total;2018;1.870
52 Melilla;Total;2017;1.767
52 Melilla;Total;2016;1.400
52 Melilla;Hombres;2022;988
52 Melilla;Hombres;2021;987
52 Melilla;Hombres;2020;1.034
52 Melilla;Hombres;2019;1.598
52 Melilla;Hombres;2018;1.652
52 Melilla;Hombres;2017;1.578
52 Melilla;Hombres;2016;1.266
52 Melilla;Mujeres;2022;155
52 Melilla;Mujeres;2021;140
52 Melilla;Mujeres;2020;150
52 Melilla;Mujeres;2019;257
52 Melilla;Mujeres;2018;218
52 Melilla;Mujeres;2017;189
52 Melilla;Mujeres;2016;134
